RK;PLAYER;GP;MIN;PTS;FGM;FGA;3PM;3PA;FTM;FTA;OR;DR;REB;AST;STL;BLK;TO;PF
1;Napheesa Collier;14;296;360;146;239;17;54;32;40;23;127;150;39;28;20;22;48
2;Chelsea Gray;14;279;300;115;253;36;78;22;23;14;58;72;77;18;5;39;31
3;Kayla McBride;13;249;291;102;222;41;108;27;28;7;68;75;38;14;2;21;17
4;Allisha Gray;14;274;271;94;200;33;87;27;31;10;70;80;38;17;2;21;43
5;Breanna Stewart;14;260;268;98;224;8;42;37;47;15;141;156;44;16;15;21;27
6;Rhyne Howard;13;258;267;88;226;46;124;23;27;14;60;74;29;15;14;21;42
7;Skylar Diggins;14;226;251;96;184;16;50;23;29;15;22;37;66;21;6;19;47
8;Dearica Hamby;12;205;239;92;164;10;25;26;40;28;91;119;27;15;4;24;36
9;Brittney Griner;14;215;234;100;155;5;9;16;21;13;68;81;19;4;18;24;25
10;Satou Sabally;14;189;214;79;185;25;66;17;27;12;68;80;27;8;2;32;48
11;Rickea Jackson;14;199;192;74;174;16;47;15;16;14;43;57;14;7;5;24;31
12;Angel Reese;14;220;186;69;147;2;9;25;34;53;120;173;26;10;6;34;53
13;Sabrina Ionescu;9;173;164;59;143;23;64;13;16;13;50;63;37;4;2;15;16
14;Tiffany Hayes;10;158;161;62;157;13;53;13;22;8;45;53;26;11;1;18;28
15;Jewell Loyd;12;163;146;52;117;15;40;15;17;9;23;32;28;6;1;22;21
16;Courtney Vandersloot;14;170;140;57;126;10;32;9;11;6;36;42;44;8;6;17;25
17;Brittney Sykes;12;153;139;55;131;6;26;13;17;14;32;46;23;7;1;21;41
18;Natasha Cloud;14;202;136;50;126;14;58;12;15;10;59;69;66;6;2;26;27
19;Courtney Williams;14;143;131;57;117;6;15;6;6;3;54;57;64;5;1;11;29
20;Azurá Stevens;10;109;117;49;101;6;33;8;12;17;56;73;11;7;7;10;18
21;Shakira Austin;14;130;117;45;89;0;3;17;23;26;34;60;9;6;9;19;37
22;Kahleah Copper;7;111;116;48;106;6;25;7;11;7;40;47;5;5;1;14;20
23;Jordin Canada;12;150;115;46;104;4;20;11;16;10;32;42;42;7;2;16;25
24;Rae Burrell;13;125;111;38;101;9;28;13;19;8;24;32;19;9;6;13;18
25;Stefanie Dolson;13;151;109;41;69;10;22;9;9;14;48;62;15;2;4;18;28
26;Aaliyah Edwards;14;133;107;45;79;1;1;8;17;15;60;75;15;9;5;19;30
27;DiJonai Carrington;11;102;104;40;90;8;24;9;15;9;39;48;20;18;3;21;31
28;Katie Lou Samuelson;14;161;100;43;88;10;28;3;8;12;28;40;24;10;5;10;29
29;Natisha Hiedeman;12;123;94;37;92;14;41;4;4;2;39;41;26;4;5;11;24
30;Jackie Young;6;79;93;33;61;15;29;7;9;6;12;18;18;3;0;5;18
31;Alyssa Thomas;8;131;90;41;79;0;0;4;11;26;64;90;36;8;2;21;17
32;Lexie Hull;14;161;89;35;98;9;39;5;7;14;29;43;23;4;1;8;41
33;Arike Ogunbowale;8;115;80;33;93;9;36;3;4;1;22;23;27;6;2;10;17
34;Aliyah Boston;13;119;77;32;66;1;2;7;10;18;52;70;8;3;5;7;23
35;Kate Martin;6;78;52;20;55;6;30;3;4;4;27;31;5;7;0;7;15
36;Marina Mabrey;3;37;44;15;39;8;23;3;3;2;11;13;9;0;1;2;8
37;Kiki Jefferson;2;17;20;6;11;2;4;3;3;1;6;7;1;1;0;2;3
38;Ariel Atkins;4;30;12;4;19;2;9;1;1;2;5;7;6;2;0;6;9
39;NaLyssa Smith;1;5;2;1;2;0;0;0;0;0;0;0;1;0;0;2;3
40;Naz Hillmon;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
