RK;PLAYER;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;REB;AST;STL;BLK;TO;PF
1;Chelsea Gray;7;22,3;29,0;9,9;17,7;55,6;4,0;7,6;52,8;2,6;2,7;94,7;0,7;4,3;5,0;6,4;1,6;0,6;2,7;2,3
2;Marina Mabrey;7;21,3;25,4;9,0;21,7;41,4;3,3;11,0;29,9;2,4;2,9;85,0;0,7;6,7;7,4;5,4;0,4;0,0;4,1;3,3
3;Allisha Gray;7;16,6;24,3;8,6;17,9;48,0;2,9;7,7;37,0;2,0;2,6;77,8;1,1;3,7;4,9;3,4;1,1;0,9;1,6;1,9
4;Paige Bueckers;7;20,3;23,9;8,6;16,4;52,2;1,9;4,1;44,8;2,9;3,1;90,9;0,7;6,7;7,4;6,4;0,6;0,9;2,4;2,7
5;Aaliyah Edwards;7;19,1;21,7;9,1;16,0;57,1;0,1;0,3;50,0;2,0;2,9;70,0;4,3;8,7;13,0;2,0;0,9;0,6;3,3;3,6
6;Kelsey Plum;7;17,7;21,1;8,6;17,4;49,2;2,6;7,3;35,3;1,0;1,0;100,0;0,7;4,4;5,1;5,4;0,4;0,0;1,1;2,9
7;Brittney Sykes;7;15,7;21,0;7,7;15,9;48,6;2,6;5,9;43,9;1,7;2,3;75,0;0,6;3,3;3,9;1,6;1,7;0,4;1,6;2,9
8;Kahleah Copper;4;17,8;20,5;8,5;17,0;50,0;2,3;6,0;37,5;0,8;1,3;60,0;1,0;3,5;4,5;0,8;0,0;0,5;0,5;3,8
9;Rhyne Howard;7;20,9;20,0;7,1;16,1;44,2;3,9;8,7;44,3;1,3;1,7;75,0;0,6;4,4;5,0;2,3;1,6;0,7;1,4;2,7
10;Breanna Stewart;7;16,4;19,7;7,7;15,9;48,6;1,0;3,6;28,0;2,0;2,3;87,5;1,7;7,4;9,1;2,4;1,1;0,7;1,7;1,7
11;Dearica Hamby;7;16,3;19,7;7,7;14,3;54,0;0,3;1,7;16,7;2,1;3,1;68,2;1,7;6,1;7,9;0,9;0,9;0,0;1,0;3,3
12;Aliyah Boston;7;17,1;18,9;8,0;15,4;51,9;0,9;3,1;27,3;1,0;1,3;77,8;2,1;7,6;9,7;2,1;1,3;1,9;1,7;3,1
13;Jackie Young;7;14,3;16,9;6,0;12,0;50,0;1,7;4,6;37,5;1,9;2,0;92,9;1,1;2,9;4,0;4,6;0,9;0,1;1,6;2,0
14;Dominique Malonga;7;14,7;16,9;6,9;13,0;52,7;0,6;1,7;33,3;1,4;1,6;90,9;2,9;8,0;10,9;0,7;0,3;1,3;3,1;1,7
15;Kelsey Mitchell;7;17,3;15,9;6,9;13,4;51,1;1,1;4,3;26,7;0,6;0,9;66,7;0,6;2,0;2,6;2,4;1,1;0,0;1,3;2,6
16;Skylar Diggins;4;13,5;14,5;4,5;13,0;34,6;0,5;4,0;12,5;3,0;3,5;85,7;1,0;1,8;2,8;2,3;1,0;1,3;1,3;3,3
17;Sonia Citron;7;16,1;14,3;5,4;12,7;42,7;0,7;4,1;17,2;1,4;1,7;83,3;0,3;4,1;4,4;2,3;1,0;1,0;1,6;3,1
18;Rickea Jackson;6;19,3;14,2;5,2;13,5;38,3;1,0;3,0;33,3;1,5;1,8;81,8;1,3;4,3;5,7;3,3;0,7;0,3;2,2;2,0
19;Monique Billings;7;12,0;13,3;5,0;11,3;44,3;0,3;1,3;22,2;1,6;1,9;84,6;2,3;6,7;9,0;0,3;1,0;0,3;1,4;2,7
20;Arike Ogunbowale;7;13,4;12,7;5,0;11,9;42,2;1,9;5,1;36,1;0,4;0,9;50,0;0,7;1,7;2,4;2,1;1,1;0,1;1,6;2,3
21;Shakira Austin;7;13,3;12,6;5,0;9,6;52,2;0,0;0,4;0,0;1,6;2,6;61,1;1,3;5,7;7,0;1,0;0,4;0,3;1,3;2,3
22;Alyssa Thomas;7;14,0;12,3;5,4;8,1;66,7;0,0;0,0;0;0,9;1,0;85,7;0,9;6,4;7,3;3,4;0,3;0,3;0,9;1,3
23;Tiffany Hayes;7;11,9;12,0;4,0;8,7;45,9;1,7;4,6;37,5;1,3;1,3;100,0;0,9;2,1;3,0;3,0;1,0;0,4;0,7;2,4
24;Cameron Brink;7;10,7;11,1;3,6;7,4;48,1;0,7;2,1;33,3;1,6;1,9;84,6;1,6;4,0;5,6;0,9;0,1;1,6;2,0;3,9
25;Azurá Stevens;7;11,6;11,1;4,3;10,6;40,5;1,0;3,6;28,0;0,9;0,9;100,0;2,0;4,9;6,9;1,7;0,3;0,4;0,6;1,7
26;Natasha Cloud;7;17,0;11,0;4,1;8,0;51,8;2,1;4,6;46,9;0,3;0,4;66,7;0,1;4,6;4,7;4,3;0,4;0,1;1,3;3,3
27;Kiki Iriafen;7;10,1;11,0;4,1;9,6;43,3;0,3;1,3;22,2;1,3;2,4;52,9;1,9;2,4;4,3;0,6;0,4;0,1;0,9;3,0
28;Ezi Magbegor;7;11,6;9,1;4,3;8,4;50,8;0,1;1,4;10,0;0,3;0,4;66,7;0,7;5,6;6,3;1,1;0,6;1,0;1,1;3,1
29;Maddy Siegrist;6;8,7;8,7;3,5;6,5;53,8;0,7;1,8;36,4;0,5;0,8;60,0;1,0;2,8;3,8;0,3;0,5;0,0;0,8;2,2
30;Naz Hillmon;7;12,3;8,7;3,1;7,1;44,0;0,9;3,6;24,0;0,9;1,4;60,0;1,4;5,4;6,9;0,9;0,1;0,3;1,7;2,0
31;Veronica Burton;7;14,6;8,4;3,0;7,9;38,2;0,7;3,0;23,8;1,0;1,4;70,0;1,6;3,9;5,4;3,4;2,1;0,6;0,7;2,4
