RK;PLAYER;GP;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;REB;AST;STL;BLK;TO;PF
1;Chelsea Gray;6;21,7;28,2;9,2;17,2;53,4;4,2;7,7;54,3;2,7;2,8;94,1;0,7;4,0;4,7;6,2;1,5;0,5;3,0;2,2
2;Marina Mabrey;6;21,7;26,2;9,2;22,0;41,7;3,7;11,3;32,4;2,3;2,7;87,5;0,8;6,5;7,3;6,2;0,3;0,0;4,2;3,7
3;Paige Bueckers;6;20,2;24,2;8,8;16,5;53,5;1,8;4,0;45,8;2,8;3,2;89,5;0,8;6,8;7,7;6,8;0,5;0,7;2,8;2,5
4;Allisha Gray;6;16,2;23,8;8,3;17,3;48,1;2,8;7,3;38,6;2,0;2,7;75,0;1,2;3,7;4,8;3,5;1,2;1,0;1,3;1,8
5;Aaliyah Edwards;6;19,2;22,0;9,3;16,5;56,6;0,2;0,3;50,0;2,0;3,0;66,7;4,2;8,7;12,8;2,0;1,0;0,5;3,5;3,7
6;Kelsey Plum;6;18,0;21,8;9,0;18,2;49,5;2,5;7,3;34,1;0,8;0,8;100,0;0,8;4,8;5,7;5,5;0,5;0,0;1,3;3,0
7;Rhyne Howard;6;20,3;21,0;7,5;16,7;45,0;4,2;9,0;46,3;1,3;1,7;80,0;0,2;4,2;4,3;2,0;1,5;0,8;1,5;2,8
8;Dearica Hamby;6;16,8;20,3;7,8;14,5;54,0;0,3;1,7;20,0;2,3;3,2;73,7;1,8;6,3;8,2;0,8;0,8;0,0;1,0;3,7
9;Breanna Stewart;6;16,5;19,5;7,7;16,3;46,9;0,8;3,5;23,8;2,0;2,3;85,7;1,5;7,3;8,8;2,5;1,0;0,5;1,7;1,7
10;Brittney Sykes;6;14,3;19,3;6,8;14,0;48,8;2,5;5,5;45,5;1,8;2,3;78,6;0,7;3,2;3,8;1,2;2,0;0,3;1,5;2,5
11;Aliyah Boston;6;16,7;19,2;8,2;14,8;55,1;0,8;3,0;27,8;1,0;1,0;100,0;1,8;6,8;8,7;2,5;1,5;1,8;1,8;3,5
12;Jackie Young;6;15,3;18,8;6,7;13,2;50,6;1,8;5,0;36,7;2,2;2,3;92,9;1,3;2,5;3,8;4,3;0,7;0,2;1,8;2,3
13;Kahleah Copper;3;17,3;18,0;7,7;16,3;46,9;2,3;5,7;41,2;0,3;1,0;33,3;1,0;3,7;4,7;1,0;0,0;0,0;0,7;3,7
14;Dominique Malonga;6;14,3;16,7;6,7;13,0;51,3;0,5;1,7;30,0;1,5;1,7;90,0;3,2;7,7;10,8;0,5;0,3;1,2;3,2;1,7
15;Kelsey Mitchell;6;16,8;15,7;6,8;13,2;51,9;0,8;3,8;21,7;0,7;0,8;80,0;0,5;2,3;2,8;2,0;1,2;0,0;1,0;2,5
16;Sonia Citron;6;16,0;14,3;5,5;13,0;42,3;0,8;4,5;18,5;1,3;1,5;88,9;0,2;4,3;4,5;2,5;1,0;0,8;1,5;2,8
17;Rickea Jackson;6;19,3;14,2;5,2;13,5;38,3;1,0;3,0;33,3;1,5;1,8;81,8;1,3;4,3;5,7;3,3;0,7;0,3;2,2;2,0
18;Monique Billings;6;11,5;12,8;5,0;11,0;45,5;0,3;1,3;25,0;1,3;1,7;80,0;2,2;6,0;8,2;0,3;0,8;0,3;1,5;2,7
