RK;PLAYER;GP;MIN;PTS;FGM;FGA;3PM;3PA;FTM;FTA;OR;DR;REB;AST;STL;BLK;TO;PF
1;Chelsea Gray;7;156;203;69;124;28;53;18;19;5;30;35;45;11;4;19;16
2;Allisha Gray;7;116;170;60;125;20;53;14;18;8;26;34;24;8;6;11;13
3;Marina Mabrey;6;130;157;55;132;22;68;14;16;5;39;44;37;2;0;25;22
4;Kelsey Plum;7;124;148;60;122;18;51;7;7;5;31;36;38;3;0;8;20
5;Paige Bueckers;6;121;145;53;99;11;24;17;19;5;41;46;41;3;4;17;15
6;Rhyne Howard;7;146;140;50;113;27;61;9;12;4;31;35;16;11;5;10;19
7;Breanna Stewart;7;115;138;54;111;7;25;14;16;12;52;64;17;8;5;12;12
8;Dearica Hamby;7;114;138;54;100;2;12;15;22;12;43;55;6;6;0;7;23
9;Aaliyah Edwards;6;115;132;56;99;1;2;12;18;25;52;77;12;6;3;21;22
10;Aliyah Boston;7;120;132;56;108;6;22;7;9;15;53;68;15;9;13;12;22
11;Brittney Sykes;6;86;116;41;84;15;33;11;14;4;19;23;7;12;2;9;15
12;Jackie Young;6;92;113;40;79;11;30;13;14;8;15;23;26;4;1;11;14
13;Dominique Malonga;6;86;100;40;78;3;10;9;10;19;46;65;3;2;7;19;10
14;Kelsey Mitchell;6;101;94;41;79;5;23;4;5;3;14;17;12;7;0;6;15
15;Arike Ogunbowale;7;94;89;35;83;13;36;3;6;5;12;17;15;8;1;11;16
16;Shakira Austin;7;93;88;35;67;0;3;11;18;9;40;49;7;3;2;9;16
17;Sonia Citron;6;96;86;33;78;5;27;8;9;1;26;27;15;6;5;9;17
18;Rickea Jackson;6;116;85;31;81;6;18;9;11;8;26;34;20;4;2;13;12
19;Tiffany Hayes;7;83;84;28;61;12;32;9;9;6;15;21;21;7;3;5;17
20;Kahleah Copper;4;71;82;34;68;9;24;3;5;4;14;18;3;0;2;2;15
21;Azurá Stevens;7;81;78;30;74;7;25;6;6;14;34;48;12;2;3;4;12
22;Natasha Cloud;7;119;77;29;56;15;32;2;3;1;32;33;30;3;1;9;23
23;Monique Billings;6;69;77;30;66;2;8;8;10;13;36;49;2;5;2;9;16
24;Kiki Iriafen;7;71;77;29;67;2;9;9;17;13;17;30;4;3;1;6;21
25;Cameron Brink;6;62;67;21;42;4;11;10;11;10;23;33;5;1;7;11;24
26;Alyssa Thomas;6;86;67;29;45;0;0;5;6;6;42;48;22;2;2;6;8
27;Veronica Burton;7;102;59;21;55;5;21;7;10;11;27;38;24;15;4;5;17
28;Ezi Magbegor;6;73;57;27;53;0;7;2;2;5;33;38;7;3;7;8;18
29;Courtney Williams;7;90;55;26;59;3;10;0;1;3;36;39;34;2;1;11;16
30;Erica Wheeler;7;70;53;19;49;8;22;4;5;6;18;24;21;3;0;5;11
31;Maddy Siegrist;6;52;52;21;39;4;11;3;5;6;17;23;2;3;0;5;13
32;Rae Burrell;7;57;46;17;42;3;11;5;6;6;16;22;12;4;1;5;8
33;Naz Hillmon;6;68;46;17;36;3;16;5;7;7;30;37;5;1;2;11;13
34;Jordin Canada;6;52;45;14;48;6;20;6;6;3;24;27;19;4;1;3;11
35;Brittney Griner;6;33;44;16;25;0;1;7;9;6;13;19;0;0;4;7;13
36;Kate Martin;6;54;36;15;35;1;13;2;4;6;18;24;4;1;1;6;12
37;Alanna Smith;7;54;36;16;36;0;10;2;6;5;22;27;2;2;6;5;17
38;Saniya Rivers;6;53;34;15;44;2;12;1;3;2;17;19;5;5;10;7;7
39;Lexie Hull;6;65;34;12;39;4;19;3;3;9;15;24;5;11;2;4;12
40;Rebecca Allen;6;79;33;13;36;7;19;0;0;4;14;18;8;2;8;12;22
41;Sug Sutton;6;49;33;13;32;5;18;1;1;0;7;7;12;6;0;2;15
42;Li Yueru;7;40;32;12;27;1;7;4;4;5;18;23;2;1;2;1;11
43;Skylar Diggins;3;37;31;9;34;2;13;7;9;3;5;8;7;4;2;5;9
44;Natisha Hiedeman;6;48;25;10;34;3;14;1;2;3;8;11;10;1;0;4;11
45;Temi Fágbénlé;6;38;22;10;16;0;2;1;4;8;13;21;1;4;2;7;11
46;Rachel Banham;6;30;20;7;15;6;14;0;1;0;10;10;3;0;0;3;12
47;Aari McDonald;1;6;2;0;4;0;1;1;3;1;0;1;0;0;0;0;2
